"Date","Price","Open","High","Low","Vol.","Change %"
"05/10/2020","10,398.1","10,350.4","10,493.5","10,255.0","6.13M","2.83%"
"02/10/2020","10,111.9","9,873.4","10,302.7","9,825.7","18.22M","2.91%"
"01/10/2020","9,825.7","9,825.7","9,873.4","9,730.3","5.05M","0.49%"
"30/09/2020","9,778.0","9,682.6","9,873.4","9,682.6","3.39M","0.99%"
"29/09/2020","9,682.6","9,778.0","9,921.1","9,682.6","9.80M","0.00%"
"28/09/2020","9,682.6","9,730.3","9,778.0","9,634.9","4.88M","0.00%"
"25/09/2020","9,682.6","9,825.7","9,825.7","9,634.9","2.82M","-0.98%"
"24/09/2020","9,778.0","9,921.1","10,016.5","9,730.3","4.78M","-1.44%"
"23/09/2020","9,921.1","9,634.9","9,921.1","9,587.2","12.21M","4.00%"
"22/09/2020","9,539.5","9,587.2","9,634.9","9,539.5","5.11M","-0.99%"
"21/09/2020","9,634.9","9,634.9","9,682.6","9,539.5","4.68M","1.00%"
"18/09/2020","9,539.5","9,587.2","9,634.9","9,530.0","7.01M","0.00%"
"17/09/2020","9,539.5","9,682.6","9,730.3","9,539.5","2.82M","-1.48%"
"16/09/2020","9,682.6","9,682.6","9,730.3","9,587.2","1.16M","0.00%"
"15/09/2020","9,682.6","9,539.5","9,730.3","9,539.5","4.04M","1.50%"
"14/09/2020","9,539.5","9,539.5","9,634.9","9,530.0","4.31M","0.00%"
"11/09/2020","9,539.5","9,539.5","9,634.9","9,501.3","4.06M","-0.50%"
"10/09/2020","9,587.2","9,587.2","9,682.6","9,539.5","1.98M","0.50%"
"09/09/2020","9,539.5","9,444.1","9,587.2","9,434.6","2.35M","-0.50%"
"08/09/2020","9,587.2","9,587.2","9,634.9","9,510.9","5.11M","0.00%"
"07/09/2020","9,587.2","9,921.1","9,968.8","9,587.2","3.61M","-3.37%"
"04/09/2020","9,921.1","9,825.7","9,968.8","9,778.0","2.31M","-0.95%"
"03/09/2020","10,016.5","9,634.9","10,016.5","9,587.2","9.67M","4.48%"
"01/09/2020","9,587.2","9,587.2","9,634.9","9,520.4","2.75M","0.00%"
"31/08/2020","9,587.2","9,682.6","9,730.3","9,539.5","2.43M","-0.50%"
"28/08/2020","9,634.9","9,634.9","9,778.0","9,634.9","4.04M","0.50%"
"27/08/2020","9,587.2","9,634.9","9,730.3","9,587.2","2.67M","0.00%"
"26/08/2020","9,587.2","9,539.5","9,682.6","9,491.8","3.81M","0.50%"
"25/08/2020","9,539.5","9,634.9","9,730.3","9,539.5","3.30M","-0.99%"
"24/08/2020","9,634.9","9,682.6","9,682.6","9,539.5","3.77M","0.50%"
"21/08/2020","9,587.2","9,587.2","9,634.9","9,491.8","1.75M","0.50%"
"20/08/2020","9,539.5","9,730.3","9,730.3","9,491.8","3.24M","-1.96%"
"19/08/2020","9,730.3","9,444.1","9,730.3","9,062.5","3.99M","3.24%"
"18/08/2020","9,425.0","9,396.4","9,482.3","9,367.8","1.15M","0.20%"
"17/08/2020","9,405.9","9,539.5","9,539.5","9,348.7","2.57M","-1.30%"
"14/08/2020","9,530.0","9,539.5","9,682.6","9,491.8","5.82M","0.50%"
"13/08/2020","9,482.3","9,281.9","9,491.8","9,281.9","3.69M","2.16%"
"12/08/2020","9,281.9","9,148.4","9,310.6","9,148.4","3.84M","1.46%"
"11/08/2020","9,148.4","9,215.2","9,310.6","9,072.1","1.77M","-0.72%"
"10/08/2020","9,215.2","9,043.4","9,444.1","9,014.8","3.09M","2.77%"
"07/08/2020","8,967.1","9,005.3","9,014.8","8,909.9","2.09M","-0.53%"
"06/08/2020","9,014.8","9,081.6","9,110.2","8,976.7","3.20M","-0.94%"
"05/08/2020","9,100.7","8,919.4","9,110.2","8,871.7","3.24M","2.14%"
"04/08/2020","8,909.9","8,871.7","8,957.6","8,871.7","2.08M","0.97%"
"03/08/2020","8,824.0","8,728.6","8,871.7","8,709.6","3.43M","1.09%"
"31/07/2020","8,728.6","8,700.0","8,833.6","8,680.9","1.25M","-1.72%"
"30/07/2020","8,881.3","8,623.7","8,881.3","8,623.7","1.91M","1.20%"
"29/07/2020","8,776.3","8,585.6","8,776.3","8,442.5","3.66M","-1.18%"
"28/07/2020","8,881.3","8,404.3","8,938.5","8,404.3","4.56M","5.80%"
"27/07/2020","8,394.8","8,299.4","8,566.5","8,261.2","6.56M","-5.48%"
"24/07/2020","8,881.3","9,167.5","9,186.5","8,566.5","8.62M","-3.52%"
"23/07/2020","9,205.6","9,272.4","9,291.5","9,148.4","2.76M","-0.82%"
"22/07/2020","9,281.9","9,367.8","9,386.9","9,272.4","2.04M","-0.92%"
"21/07/2020","9,367.8","9,434.6","9,434.6","9,339.2","2.97M","-0.41%"
"20/07/2020","9,405.9","9,539.5","9,587.2","9,405.9","2.40M","-1.40%"
"17/07/2020","9,539.5","9,634.9","9,634.9","9,539.5","2.05M","-0.99%"
"16/07/2020","9,634.9","9,587.2","9,634.9","9,539.5","2.23M","1.00%"
"15/07/2020","9,539.5","9,634.9","9,682.6","9,539.5","1.99M","-0.50%"
"14/07/2020","9,587.2","9,539.5","9,587.2","9,491.8","1.67M","0.00%"
"13/07/2020","9,587.2","9,682.6","9,682.6","9,539.5","2.30M","0.00%"
"10/07/2020","9,587.2","9,510.9","9,682.6","9,510.9","4.17M","0.70%"
"09/07/2020","9,520.4","9,405.9","9,587.2","9,405.9","2.36M","1.22%"
"08/07/2020","9,405.9","9,396.4","9,472.7","9,386.9","1.79M","-0.40%"
"07/07/2020","9,444.1","9,634.9","9,682.6","9,444.1","2.97M","-0.90%"
"06/07/2020","9,530.0","9,301.0","9,530.0","9,234.2","2.49M","3.31%"
"03/07/2020","9,224.7","9,196.1","9,301.0","9,196.1","2.22M","0.62%"
"02/07/2020","9,167.5","9,396.4","9,396.4","9,157.9","3.58M","-1.94%"
"01/07/2020","9,348.7","9,224.7","9,386.9","9,224.7","3.39M","1.03%"
"30/06/2020","9,253.3","9,539.5","9,539.5","9,081.6","3.47M","-1.02%"
"29/06/2020","9,348.7","9,682.6","9,682.6","9,262.9","6.87M","-3.92%"
"26/06/2020","9,730.3","9,921.1","9,921.1","9,682.6","2.14M","-0.49%"
"25/06/2020","9,778.0","9,730.3","9,825.7","9,682.6","2.01M","-0.97%"
"24/06/2020","9,873.4","10,016.5","10,064.2","9,825.7","3.63M","-1.43%"
"23/06/2020","10,016.5","10,016.5","10,111.9","9,921.1","3.12M","0.00%"
"22/06/2020","10,016.5","10,111.9","10,207.3","9,968.8","3.16M","0.96%"
"19/06/2020","9,921.1","9,968.8","10,064.2","9,921.1","5.51M","0.00%"
"18/06/2020","9,921.1","9,921.1","10,016.5","9,825.7","2.11M","-1.42%"
"17/06/2020","10,064.2","10,255.0","10,302.7","9,968.8","2.29M","-1.40%"
"16/06/2020","10,207.3","10,350.4","10,350.4","10,111.9","2.83M","1.90%"
"15/06/2020","10,016.5","10,159.6","10,398.1","9,968.8","7.99M","0.48%"
"12/06/2020","9,968.8","9,539.5","9,968.8","9,491.8","8.06M","-0.48%"
"11/06/2020","10,016.5","10,731.9","10,875.0","10,016.5","8.03M","-10.96%"
"10/06/2020","11,250.0","11,100.0","11,600.0","10,950.0","8.46M","1.81%"
"09/06/2020","11,050.0","10,700.0","11,200.0","10,650.0","11.29M","3.27%"
"08/06/2020","10,700.0","10,600.0","10,950.0","10,550.0","9.23M","1.42%"
"05/06/2020","10,550.0","10,450.0","10,600.0","10,450.0","3.63M","-0.47%"
"04/06/2020","10,600.0","10,600.0","10,700.0","10,550.0","4.42M","0.00%"
"03/06/2020","10,600.0","10,500.0","10,600.0","10,500.0","1.85M","0.95%"
"02/06/2020","10,500.0","10,450.0","10,800.0","10,400.0","8.40M","0.48%"
"01/06/2020","10,450.0","10,300.0","10,500.0","10,200.0","5.90M","1.95%"
"29/05/2020","10,250.0","10,400.0","10,400.0","10,250.0","3.27M","-1.44%"
"28/05/2020","10,400.0","10,350.0","10,500.0","10,250.0","4.37M","0.97%"
"27/05/2020","10,300.0","10,800.0","10,850.0","10,300.0","6.55M","-2.83%"
"26/05/2020","10,600.0","10,300.0","10,700.0","10,250.0","9.49M","3.92%"
"25/05/2020","10,200.0","10,100.0","10,400.0","10,000.0","6.13M","0.99%"
"22/05/2020","10,100.0","10,150.0","10,200.0","10,100.0","3.43M","-0.98%"
"21/05/2020","10,200.0","10,250.0","10,300.0","10,100.0","3.42M","0.00%"
"20/05/2020","10,200.0","10,200.0","10,250.0","10,100.0","2.83M","0.00%"
"19/05/2020","10,200.0","10,300.0","10,300.0","10,150.0","5.69M","0.99%"
"18/05/2020","10,100.0","10,050.0","10,150.0","9,960.0","4.18M","1.00%"
"15/05/2020","10,000.0","10,150.0","10,350.0","9,980.0","6.77M","-1.48%"
"14/05/2020","10,150.0","10,250.0","10,300.0","10,150.0","4.74M","-1.46%"
"13/05/2020","10,300.0","10,400.0","10,550.0","10,150.0","5.44M","-0.96%"
"12/05/2020","10,400.0","10,150.0","10,700.0","10,000.0","9.62M","2.46%"
"11/05/2020","10,150.0","10,100.0","10,200.0","9,970.0","6.89M","0.50%"
"08/05/2020","10,100.0","10,200.0","10,400.0","10,000.0","9.45M","-0.98%"
"07/05/2020","10,200.0","9,960.0","10,200.0","9,950.0","5.57M","2.51%"
"06/05/2020","9,950.0","9,560.0","9,950.0","9,560.0","3.99M","3.00%"
"05/05/2020","9,660.0","9,820.0","9,820.0","9,510.0","4.94M","-1.63%"
"04/05/2020","9,820.0","9,950.0","10,250.0","9,820.0","9.81M","-6.92%"
