Date,Price,Open,High,Low,Vol.,Change %
3/12/2018,"25,677.30","24,491.00","25,677.30","24,337.90",4.36M,6.85%
30/11/2018,"24,031.80","23,419.50","24,337.90","23,419.50",3.28M,0.48%
29/11/2018,"23,917.00","24,146.60","24,491.00","23,917.00",3.12M,-0.95%
28/11/2018,"24,146.60","24,070.00","24,223.10","23,955.20",961.05K,0.32%
27/11/2018,"24,070.00","24,414.40","24,491.00","23,725.60",1.74M,-0.63%
26/11/2018,"24,223.10","24,031.80","24,452.70","24,031.80",994.73K,-0.16%
23/11/2018,"24,261.40","24,337.90","24,567.50","24,184.80",1.69M,-0.47%
22/11/2018,"24,376.20","24,644.10","24,835.40","24,337.90",2.35M,-0.47%
21/11/2018,"24,491.00","23,878.70","24,644.10","23,840.40",2.20M,0.95%
20/11/2018,"24,261.40","24,070.00","24,491.00","24,070.00",1.64M,-1.55%
19/11/2018,"24,644.10","24,644.10","24,911.90","24,491.00",1.91M,0.00%
16/11/2018,"24,644.10","24,108.30","24,835.40","24,108.30",2.94M,3.87%
15/11/2018,"23,725.60","22,960.30","24,337.90","22,883.80",1.98M,3.33%
14/11/2018,"22,960.30","23,725.60","24,108.30","22,960.30",1.90M,-3.23%
13/11/2018,"23,725.60","23,955.20","24,299.60","23,725.60",2.58M,-3.73%
12/11/2018,"24,644.10","23,802.20","24,835.40","23,802.20",1.68M,1.58%
9/11/2018,"24,261.40","24,644.10","24,873.70","24,223.10",2.25M,-2.31%
8/11/2018,"24,835.40","25,639.00","25,639.00","24,797.10",2.17M,0.00%
7/11/2018,"24,835.40","24,491.00","25,141.50","24,414.40",2.66M,1.41%
6/11/2018,"24,491.00","25,256.30","25,371.10","24,376.20",2.31M,-2.44%
5/11/2018,"25,103.30","24,491.00","25,103.30","24,184.80",2.18M,1.08%
2/11/2018,"24,835.40","23,725.60","24,835.40","23,572.60",4.36M,6.92%
1/11/2018,"23,228.20","24,070.00","24,108.30","23,189.90",3.74M,2.88%
31/10/2018,"22,577.60","21,812.30","22,577.60","21,582.70",2.10M,6.88%
30/10/2018,"21,123.50","21,812.30","22,730.70","21,123.50",3.95M,-4.50%
29/10/2018,"22,118.40","23,343.00","23,572.60","22,041.90",3.12M,-5.56%
26/10/2018,"23,419.50","24,491.00","24,720.60","23,419.50",2.36M,-1.92%
25/10/2018,"23,878.70","23,228.20","24,491.00","23,228.20",5.78M,-4.29%
24/10/2018,"24,950.20","26,710.50","26,787.00","24,950.20",2.81M,-6.59%
23/10/2018,"26,710.50","26,633.90","26,940.10","25,639.00",4.59M,-0.29%
22/10/2018,"26,787.00","26,787.00","27,131.40","26,557.40",4.58M,1.16%
19/10/2018,"26,480.90","26,021.70","26,595.70","25,868.60",2.53M,0.00%
18/10/2018,"26,480.90","26,327.80","26,901.80","25,868.60",4.22M,0.00%
17/10/2018,"26,480.90","26,021.70","26,633.90","25,983.40",3.61M,3.28%
16/10/2018,"25,639.00","24,950.20","25,639.00","24,950.20",1.98M,2.76%
15/10/2018,"24,950.20","26,021.70","26,021.70","24,950.20",1.51M,-3.55%
12/10/2018,"25,868.60","25,256.30","26,136.50","24,491.00",3.35M,2.74%
11/10/2018,"25,179.80","25,332.90","26,251.30","25,179.80",8.27M,-6.93%
10/10/2018,"27,054.90","27,705.40","27,705.40","26,940.10",2.62M,-2.08%
9/10/2018,"27,628.90","27,628.90","27,935.00","27,399.30",1.60M,0.28%
8/10/2018,"27,552.40","26,940.10","27,705.40","26,710.50",4.11M,1.41%
5/10/2018,"27,169.70","27,858.50","28,011.60","27,169.70",3.57M,-3.40%
4/10/2018,"28,126.40","28,088.10","28,164.60","27,782.00",2.36M,0.27%
3/10/2018,"28,049.80","27,782.00","28,126.40","27,705.40",2.97M,1.24%
2/10/2018,"27,705.40","26,633.90","27,858.50","26,404.30",6.54M,4.17%
1/10/2018,"26,595.70","26,940.10","27,169.70","26,480.90",2.18M,-1.28%
28/09/2018,"26,940.10","26,710.50","27,284.50","26,557.40",3.55M,1.59%
27/09/2018,"26,519.10","26,787.00","26,825.30","26,519.10",2.61M,-0.72%
26/09/2018,"26,710.50","26,748.70","27,131.40","26,710.50",2.46M,-0.29%
25/09/2018,"26,787.00","26,595.70","27,246.20","26,480.90",2.29M,0.29%
24/09/2018,"26,710.50","27,016.60","27,246.20","26,672.20",3.05M,-1.13%
21/09/2018,"27,016.60","27,322.80","27,361.00","26,519.10",5.82M,-0.56%
20/09/2018,"27,169.70","27,016.60","27,361.00","26,672.20",2.90M,0.57%
19/09/2018,"27,016.60","27,169.70","27,514.10","26,940.10",3.70M,0.14%
18/09/2018,"26,978.30","25,868.60","27,016.60","25,639.00",5.19M,3.07%
17/09/2018,"26,174.70","26,557.40","26,863.50","26,174.70",2.72M,-1.87%
14/09/2018,"26,672.20","27,016.60","27,169.70","26,557.40",2.08M,-0.43%
13/09/2018,"26,787.00","26,940.10","27,169.70","26,404.30",3.75M,0.72%
12/9/2018,"26,595.70","27,169.70","27,246.20","26,595.70",3.18M,-1.56%
11/9/2018,"27,016.60","26,021.70","27,093.20","25,945.10",5.50M,3.82%
10/9/2018,"26,021.70","25,868.60","26,404.30","25,639.00",3.87M,0.30%
7/9/2018,"25,945.10","24,873.70","26,136.50","24,873.70",3.99M,3.51%
6/9/2018,"25,065.00","25,332.90","25,409.40","24,797.10",2.42M,-1.06%
5/9/2018,"25,332.90","24,644.10","25,524.20","24,605.80",4.13M,1.85%
4/9/2018,"24,873.70","26,021.70","26,021.70","24,644.10",5.14M,-5.52%
31/08/2018,"26,327.80","26,633.90","26,787.00","26,251.30",2.94M,-1.43%
30/08/2018,"26,710.50","25,715.50","26,710.50","25,639.00",4.13M,3.71%
29/08/2018,"25,753.80","25,792.10","26,098.20","25,677.30",2.92M,-0.15%
28/08/2018,"25,792.10","26,251.30","26,251.30","25,485.90",3.25M,-0.88%
27/08/2018,"26,021.70","25,792.10","26,098.20","25,600.70",3.20M,1.80%
24/08/2018,"25,562.50","24,950.20","25,677.30","24,950.20",3.49M,1.06%
23/08/2018,"25,294.60","25,026.70","25,639.00","24,644.10",4.20M,1.69%
22/08/2018,"24,873.70","25,409.40","25,792.10","24,797.10",5.47M,-1.51%
21/08/2018,"25,256.30","23,725.60","25,256.30","23,725.60",5.12M,5.10%
20/08/2018,"24,031.80","23,725.60","24,337.90","23,572.60",4.49M,0.96%
17/08/2018,"23,802.20","23,419.50","24,261.40","23,036.80",5.87M,3.67%
16/08/2018,"22,960.30","22,156.70","22,998.60","21,429.60",6.31M,2.39%
15/08/2018,"22,424.60","23,343.00","23,496.00","21,888.80",6.22M,-2.33%
14/08/2018,"22,960.30","23,343.00","23,457.80","22,883.80",2.75M,-1.64%
13/08/2018,"23,343.00","22,730.70","23,610.80","22,654.20",4.62M,2.01%
10/8/2018,"22,883.80","21,888.80","22,883.80","21,812.30",5.56M,3.64%
9/8/2018,"22,080.20","22,577.60","22,807.20","22,041.90",4.33M,-1.20%
8/8/2018,"22,348.00","21,046.90","22,348.00","21,046.90",5.67M,6.37%
7/8/2018,"21,008.70","20,128.50","21,200.00","20,128.50",4.66M,2.23%
6/8/2018,"20,549.50","20,358.10","21,123.50","19,937.20",4.10M,1.13%
3/8/2018,"20,319.90","20,358.10","20,434.70","20,128.50",3.25M,1.34%
2/8/2018,"20,052.00","19,898.90","20,052.00","19,363.20",4.43M,-0.38%
1/8/2018,"20,128.50","20,128.50","20,511.20","19,898.90",4.39M,0.00%
31/07/2018,"20,128.50","20,052.00","20,626.00","19,784.10",6.67M,0.00%
30/07/2018,"20,128.50","19,286.70","20,128.50","19,133.60",4.77M,6.05%
27/07/2018,"18,980.50","18,444.80","19,095.30","18,368.20",2.55M,2.90%
26/07/2018,"18,444.80","18,062.10","18,444.80","17,794.20",2.97M,2.12%
25/07/2018,"18,062.10","19,133.60","19,248.40","18,062.10",3.49M,-4.84%
24/07/2018,"18,980.50","18,904.00","19,516.30","18,368.20",3.26M,0.00%
23/07/2018,"18,980.50","19,439.70","20,052.00","18,980.50",3.93M,-2.36%
20/07/2018,"19,439.70","19,439.70","19,822.40","18,980.50",5.38M,-1.55%
19/07/2018,"19,745.90","19,898.90","20,052.00","19,516.30",4.21M,-1.34%
18/07/2018,"20,013.70","19,133.60","20,052.00","19,057.00",5.05M,5.02%
17/07/2018,"19,057.00","18,062.10","19,248.40","18,062.10",5.02M,3.11%
16/07/2018,"18,483.00","18,368.20","18,674.40","18,138.60",3.66M,2.77%
13/07/2018,"17,985.60","17,985.60","18,368.20","17,832.50",3.95M,2.17%
12/7/2018,"17,602.90","17,143.70","18,062.10","16,875.80",3.16M,4.07%
11/7/2018,"16,914.10","17,449.80","17,602.90","16,837.60",6.84M,-6.55%
10/7/2018,"18,100.40","18,138.60","18,636.10","17,909.00",4.54M,1.50%
9/7/2018,"17,832.50","18,062.10","18,674.40","17,794.20",6.82M,0.87%
6/7/2018,"17,679.40","16,378.30","17,679.40","15,957.40",6.37M,6.94%
5/7/2018,"16,531.40","17,258.50","17,641.20","16,301.80",3.83M,-5.68%
4/7/2018,"17,526.40","17,641.20","17,717.70","16,799.30",5.84M,-0.65%
3/7/2018,"17,641.20","18,980.50","19,248.40","17,641.20",6.22M,-6.87%
2/7/2018,"18,942.20","19,516.30","19,898.90","18,636.10",4.46M,-4.81%
29/06/2018,"19,898.90","19,898.90","20,434.70","19,669.30",2.66M,0.39%
28/06/2018,"19,822.40","20,205.10","20,511.20","19,745.90",4.82M,-3.36%
27/06/2018,"20,511.20","21,276.50","21,582.70","20,511.20",2.43M,-3.60%
26/06/2018,"21,276.50","21,046.90","21,506.10","20,893.90",1.61M,-1.42%
25/06/2018,"21,582.70","21,467.90","21,927.10","21,353.10",2.44M,2.55%
22/06/2018,"21,046.90","19,937.20","21,161.70","19,937.20",2.87M,2.61%
21/06/2018,"20,511.20","21,123.50","21,429.60","20,358.10",2.61M,-4.29%
20/06/2018,"21,429.60","20,740.80","21,429.60","20,396.40",2.97M,4.48%
19/06/2018,"20,511.20","20,511.20","20,664.30","19,439.70",6.87M,-1.83%
18/06/2018,"20,893.90","22,195.00","22,233.20","20,817.30",3.61M,-5.86%
15/06/2018,"22,195.00","21,429.60","22,195.00","21,276.50",2.84M,2.47%
14/06/2018,"21,659.20","22,730.70","22,883.80","21,659.20",4.87M,-4.55%
13/06/2018,"22,692.40","22,654.20","22,960.30","22,309.80",2.10M,0.17%
12/6/2018,"22,654.20","23,189.90","23,343.00","22,080.20",5.43M,-4.52%
11/6/2018,"23,725.60","23,802.20","24,452.70","23,725.60",2.92M,-1.59%
8/6/2018,"24,108.30","23,878.70","24,261.40","23,572.60",3.37M,0.96%
7/6/2018,"23,878.70","24,337.90","24,644.10","23,878.70",4.66M,-1.89%
6/6/2018,"24,337.90","23,304.70","24,337.90","22,807.20",3.19M,4.61%
5/6/2018,"23,266.40","23,189.90","23,878.70","22,654.20",3.86M,-0.33%
4/6/2018,"23,343.00","22,195.00","23,419.50","21,735.70",6.14M,2.69%
1/6/2018,"22,730.70","22,195.00","23,496.00","22,041.90",4.57M,1.54%
31/05/2018,"22,386.30","20,893.90","22,501.10","20,893.90",4.29M,5.98%
30/05/2018,"21,123.50","21,429.60","21,812.30","20,932.10",2.70M,0.00%
29/05/2018,"21,123.50","20,281.60","21,123.50","19,745.90",3.61M,6.98%
28/05/2018,"19,745.90","20,740.80","20,817.30","19,745.90",4.91M,-6.86%
25/05/2018,"21,200.00","22,845.50","23,036.80","21,200.00",2.72M,-6.58%
24/05/2018,"22,692.40","23,343.00","23,534.30","22,539.40",1.37M,-2.63%
23/05/2018,"23,304.70","22,041.90","23,343.00","22,003.60",2.29M,3.92%
22/05/2018,"22,424.60","23,725.60","24,031.80","22,424.60",3.92M,-6.98%
21/05/2018,"24,108.30","25,218.10","25,218.10","24,108.30",3.03M,-4.40%
18/05/2018,"25,218.10","25,256.30","25,562.50","23,725.60",3.69M,-0.15%
17/05/2018,"25,256.30","25,409.40","25,639.00","25,026.70",1.89M,-0.60%
16/05/2018,"25,409.40","26,098.20","26,251.30","25,371.10",2.34M,-4.05%
15/05/2018,"26,480.90","26,251.30","26,787.00","26,021.70",2.79M,0.87%
14/05/2018,"26,251.30","26,480.90","26,557.40","25,792.10",1.15M,0.88%
11/5/2018,"26,021.70","25,026.70","26,174.70","24,108.30",2.66M,3.98%
10/5/2018,"25,026.70","26,327.80","27,246.20","24,911.90",3.56M,-6.57%
9/5/2018,"26,787.00","26,787.00","27,743.70","26,404.30",2.32M,-1.41%
8/5/2018,"27,169.70","26,595.70","28,279.40","26,327.80",3.79M,2.16%
